divipola,municipio,departamento,poblacion_total,poblacion_urbana_cabecera,poblacion_centros_poblados,poblacion_rural_disperso,densidad_poblacional_km2,superficie_km2,porcentaje_rural,poblacion_indigena,poblacion_afrodescendiente,centros_poblados,distancia_quibdo_km,proporcion_poblacion_10_19
27001,Quibdó,Chocó,,,,,,,12.46,,,,,20.76
27006,Acandí,Chocó,,,,,,,50.71,,,,,21.38
27025,Alto Baudó,Chocó,,,,,,,87.84,,,,,25.63
27050,Atrato,Chocó,,,,,,,52.82,,,,,22.26
27073,Bagadó,Chocó,,,,,,,76.44,,,,,23.28
27075,Bahía Solano,Chocó,,,,,,,39.07,,,,,23.02
27077,Bajo Baudó,Chocó,,,,,,,76.48,,,,,25.87
27099,Bojayá,Chocó,,,,,,,90.4,,,,,25.8
27135,El Cantón del San Pablo,Chocó,,,,,,,53.49,,,,,21.25
27150,Carmen del Darién,Chocó,,,,,,,87.64,,,,,24.21
27160,Cértegui,Chocó,,,,,,,41.07,,,,,20.11
27205,Condoto,Chocó,,,,,,,23.4,,,,,21.82
27245,El Carmen de Atrato,Chocó,,,,,,,69.37,,,,,21.01
27250,El Litoral del San Juan,Chocó,,,,,,,91.45,,,,,26.01
27361,Istmina,Chocó,,,,,,,27.59,,,,,22.43
27372,Juradó,Chocó,,,,,,,62.51,,,,,24.21
27413,Lloró,Chocó,,,,,,,65.53,,,,,21.23
27425,Medio Atrato,Chocó,,,,,,,91.17,,,,,25.29
27430,Medio Baudó,Chocó,,,,,,,84.71,,,,,24.3
27450,Medio San Juan,Chocó,,,,,,,75.22,,,,,21.44
27491,Nóvita,Chocó,,,,,,,61.74,,,,,20.74
27493,Nuevo Belén de Bajirá,Chocó,,,,,,,,,,,,
27495,Nuquí,Chocó,,,,,,,89.67,,,,,24.25
27580,Río Iró,Chocó,,,,,,,71.81,,,,,22.67
27600,Río Quito,Chocó,,,,,,,71.67,,,,,22.26
27615,Riosucio,Chocó,,,,,,,73.26,,,,,21.62
27660,San José del Palmar,Chocó,,,,,,,73.48,,,,,21.76
27745,Sipí,Chocó,,,,,,,76.58,,,,,24.74
27787,Tadó,Chocó,,,,,,,40.3,,,,,21.61
27800,Unguía,Chocó,,,,,,,66.26,,,,,24.23
27810,Unión Panamericana,Chocó,,,,,,,56.84,,,,,20.48
