divipola,municipio,departamento,poblacion_total,poblacion_urbana_cabecera,poblacion_centros_poblados,poblacion_rural_disperso,porcentaje_poblacion_rural,indice_ruralidad_existente,proporcion_poblacion_10_19,poblacion_indigena,poblacion_afrodescendiente_narp,poblacion_negra_mulata_afro,poblacion_raizal,poblacion_palenquera,densidad_poblacional_km2,superficie_km2,centros_poblados,distancia_quibdo_km,observacion_fuente_2018
27001,Quibdó,Chocó,120679.0,108450.0,3018.0,9211.0,10.133494642812751,12.46,20.76,4752.0,109805.0,109740.0,47.0,18.0,,,,,
27006,Acandí,Chocó,12095.0,6513.0,2188.0,3394.0,46.15130219098801,50.71,21.38,118.0,10525.0,10521.0,2.0,2.0,,,,,
27025,Alto Baudó,Chocó,23954.0,2958.0,1186.0,19810.0,87.65133171912834,87.84,25.63,13138.0,7791.0,7779.0,3.0,9.0,,,,,
27050,Atrato,Chocó,5519.0,2532.0,2701.0,286.0,54.12212357311107,52.82,22.26,36.0,5304.0,5304.0,0.0,0.0,,,,,
27073,Bagadó,Chocó,10583.0,2539.0,589.0,7455.0,76.00869318718699,76.44,23.28,6209.0,3668.0,3666.0,1.0,1.0,,,,,
27075,Bahía Solano,Chocó,9417.0,5982.0,2793.0,642.0,36.47658489964957,39.07,23.02,1209.0,7631.0,7630.0,0.0,1.0,,,,,
27077,Bajo Baudó,Chocó,18561.0,3929.0,3078.0,11554.0,78.83195948494155,76.48,25.87,7509.0,9931.0,9931.0,0.0,0.0,,,,,
27099,Bojayá,Chocó,11933.0,1088.0,4447.0,6398.0,90.8824268834325,90.4,25.8,4055.0,5502.0,5500.0,0.0,2.0,,,,,
27135,El Cantón del San Pablo,Chocó,5663.0,2598.0,2399.0,666.0,54.12325622461592,53.49,21.25,201.0,4962.0,4956.0,0.0,6.0,,,,,
27150,Carmen del Darién,Chocó,13189.0,1864.0,1167.0,10158.0,85.86701038744408,87.64,24.21,2279.0,9152.0,9144.0,6.0,2.0,,,,,
27160,Cértegui,Chocó,4683.0,2945.0,239.0,1499.0,37.11296177663891,41.07,20.11,421.0,4009.0,4004.0,2.0,3.0,,,,,
27205,Condoto,Chocó,12251.0,9534.0,1677.0,1040.0,22.177781405599543,23.4,21.82,70.0,11526.0,11501.0,22.0,3.0,,,,,
27245,El Carmen de Atrato,Chocó,7900.0,2505.0,1210.0,4185.0,68.29113924050633,69.37,21.01,2138.0,310.0,309.0,0.0,1.0,,,,,
27250,El Litoral del San Juan,Chocó,11579.0,1404.0,2417.0,7758.0,87.87460056999741,91.45,26.01,6301.0,4261.0,4258.0,0.0,3.0,,,,,
27361,Istmina,Chocó,28087.0,20925.0,814.0,6348.0,25.49934133228896,27.59,22.43,1075.0,25130.0,25103.0,22.0,5.0,,,,,
27372,Juradó,Chocó,4108.0,1652.0,533.0,1923.0,59.78578383641675,62.51,24.21,1813.0,1751.0,1749.0,1.0,1.0,,,,,
27413,Lloró,Chocó,8928.0,3280.0,1835.0,3813.0,63.261648745519715,65.53,21.23,1860.0,5249.0,5246.0,2.0,1.0,,,,,
27425,Medio Atrato,Chocó,10140.0,898.0,2203.0,7039.0,91.1439842209073,91.17,25.29,1181.0,7095.0,7087.0,1.0,7.0,,,,,
27430,Medio Baudó,Chocó,13423.0,1646.0,5944.0,5833.0,87.73746554421515,84.71,24.3,3416.0,8646.0,8639.0,0.0,7.0,,,,,
27450,Medio San Juan,Chocó,9073.0,2547.0,99.0,6427.0,71.92769756420148,75.22,21.44,1307.0,7035.0,7024.0,1.0,10.0,,,,,
27491,Nóvita,Chocó,8164.0,3343.0,1448.0,3373.0,59.05193532582068,61.74,20.74,267.0,7415.0,7411.0,1.0,3.0,,,,,
27493,Nuevo Belén de Bajirá,Chocó,,,,,,,,,,,,,,,,,Nuevo Belén de Bajirá no aparece como municipio en CNPV 2018; requiere fuente/criterio específico para serie actual.
27495,Nuquí,Chocó,3456.0,1008.0,692.0,1756.0,70.83333333333334,89.67,24.25,1533.0,1627.0,1623.0,0.0,4.0,,,,,
27580,Río Iró,Chocó,4525.0,1518.0,1435.0,1572.0,66.45303867403315,71.81,22.67,365.0,4021.0,4019.0,2.0,0.0,,,,,
27600,Río Quito,Chocó,7974.0,2193.0,3873.0,1908.0,72.49811888638074,71.67,22.26,662.0,6341.0,6339.0,1.0,1.0,,,,,
27615,Riosucio,Chocó,48257.0,12772.0,13504.0,21981.0,73.53337339660567,73.26,21.62,3329.0,36442.0,36424.0,3.0,15.0,,,,,
27660,San José del Palmar,Chocó,4721.0,1351.0,941.0,2429.0,71.38318152933701,73.48,21.76,485.0,1092.0,1091.0,0.0,1.0,,,,,
27745,Sipí,Chocó,2768.0,599.0,1605.0,564.0,78.35982658959537,76.58,24.74,429.0,2249.0,2243.0,0.0,6.0,,,,,
27787,Tadó,Chocó,17000.0,9983.0,2953.0,4064.0,41.27647058823529,40.3,21.61,997.0,14211.0,14200.0,5.0,6.0,,,,,
27800,Unguía,Chocó,12192.0,4176.0,4157.0,3859.0,65.74803149606299,66.26,24.23,1061.0,9303.0,9291.0,7.0,5.0,,,,,
27810,Unión Panamericana,Chocó,6590.0,2940.0,2669.0,981.0,55.38694992412747,56.84,20.48,199.0,5712.0,5710.0,1.0,1.0,,,,,
