divipola,municipio,departamento,anio,cobertura_internet_fijo_pct,hogares_con_internet_pct,cobertura_movil_3g_4g_pct,suscriptores_moviles_por_100_hab,accesos_fijos,accesos_moviles,tecnologia_acceso_fijo,cobertura_2g_pct,cobertura_3g_pct,cobertura_4g_pct,cobertura_5g_pct,centros_digitales,zonas_comunitarias,infraestructura_fibra,operadores,interrupciones_fallas_relevantes,fuente_base,accesos_fijos_2025_t3,penetracion_internet_fijo_2025_t3_pct,accesos_cable_2025_t3,accesos_fiber_to_the_building_o_fiber_to_the_basement__fttb_2025_t3,accesos_fiber_to_the_home__ftth_2025_t3,accesos_fiber_to_the_premises_2025_t3,accesos_hybrid_fiber_coaxial__hfc_2025_t3,accesos_otras_tecnologías_de_fibra__antes_fttx_2025_t3,accesos_otras_tecnologías_inalámbricas_2025_t3,accesos_satelital_2025_t3,accesos_wifi_2025_t3,accesos_wimax_2025_t3,accesos_xdsl_2025_t3,operadores_movil_2025_t3,presencia_2g_2025_t3,presencia_3g_2025_t3,presencia_4g_2025_t3,presencia_5g_2025_t3,fuente_mintic_actualizacion,periodo_actualizacion
27001,Quibdó,Chocó,2018,13.1238,,9.68,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,12699,8.646127659574468,6.0,2.0,10949.0,3.0,426.0,2.0,74.0,1075.0,37.0,96.0,29.0,4,1,1,1,1,MinTIC / Colombia TIC,2025-T3
27006,Acandí,Chocó,2018,0.2999,15.55,25.0,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,837,5.200049701789265,,,369.0,,,,164.0,265.0,,39.0,,4,1,1,1,1,MinTIC / Colombia TIC,2025-T3
27025,Alto Baudó,Chocó,2018,0.0529,1.86,5.88,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,85,0.2677587021578201,,,25.0,,,,,60.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27050,Atrato,Chocó,2018,0.2232,2.2,13.33,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,42,0.6032749209997127,,,19.0,,,,,23.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27073,Bagadó,Chocó,2018,0.315,9.06,7.69,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,68,0.5686094155029685,,,7.0,,,,,61.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27075,Bahía Solano,Chocó,2018,0.2553,18.54,12.5,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,1333,11.421472024676548,,,370.0,,,1.0,,555.0,133.0,274.0,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27077,Bajo Baudó,Chocó,2018,0.2425,4.25,4.17,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,268,0.7777810024087993,,,48.0,,,,,220.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27099,Bojayá,Chocó,2018,0.2472,1.95,7.14,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,162,1.16254036598493,,,32.0,,,,,67.0,,63.0,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
27135,El Cantón del San Pablo,Chocó,2018,0.1863,2.08,10.0,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,259,3.6915621436716077,,,206.0,,,,,53.0,,,,4,1,1,1,1,MinTIC / Colombia TIC,2025-T3
27150,Carmen del Darién,Chocó,2018,0.4506,1.69,6.25,,,,,,,,,,,,,,Base existente; fuentes documentadas en el Diccionario del archivo original,245,1.0905368111813407,,,100.0,,,,,145.0,,,,4,1,1,1,0,MinTIC / Colombia TIC,2025-T3
