divipola,brecha_componente_carretero,brecha_componente_fluvial,indice_brecha_conectividad_fisica,categoria_o_ciudad_referencia,gini_movilidad,gini_movilidad_valido,fuente_brecha,fuente_gini_movilidad,estado_brecha,estado_gini,observacion_brecha,observacion_gini
27001,0.0,0.1,0.1,Ciudad Principal,0.4771169318214736,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27006,0.9,0.0,0.9,Desconectado,0.4468251931305087,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27025,0.7468747333340621,0.1,0.846874733334062,SAN FRANCISCO DE QUIBDÓ,0.6815507095880928,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27050,0.0631424849441015,0.1,0.1631424849441015,SAN FRANCISCO DE QUIBDÓ,0.581293907109788,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27073,0.9,0.0,0.9,Desconectado,0.0359408033826639,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27075,0.9,0.1,1.0,Desconectado,0.4271581283470839,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27077,0.9,0.1,1.0,Desconectado,0.478101102848529,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27099,0.9,0.1,1.0,Desconectado,0.4998557360762538,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27135,0.1930549895880058,0.1,0.2930549895880058,SAN FRANCISCO DE QUIBDÓ,0.3636363636363636,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27150,0.9,0.1,1.0,Desconectado,0.4126948444426382,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27160,0.1080823070682441,0.1,0.2080823070682442,SAN FRANCISCO DE QUIBDÓ,0.2940207156308852,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27205,0.2356076877037037,0.1,0.3356076877037037,SAN FRANCISCO DE QUIBDÓ,0.5033038598728208,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27245,0.3478574100497685,0.0,0.3478574100497685,SAN FRANCISCO DE QUIBDÓ,0.4434713773827491,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27250,0.9,0.1,1.0,Desconectado,,False,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,Valor original -1; tratado como faltante porque no pertenece al rango 0–1.
27361,0.194004208955204,0.1,0.294004208955204,SAN FRANCISCO DE QUIBDÓ,0.4386663357432712,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27372,0.9,0.1,1.0,Desconectado,0.3844973825967412,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27413,0.095437879064086,0.1,0.195437879064086,SAN FRANCISCO DE QUIBDÓ,0.6315178729444941,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27425,0.9,0.1,1.0,Desconectado,0.310562613430127,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27430,0.4543936944015774,0.1,0.5543936944015775,SAN FRANCISCO DE QUIBDÓ,0.4742751167966857,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27450,0.2213914660521262,0.1,0.3213914660521262,SAN FRANCISCO DE QUIBDÓ,0.5205987485661656,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27491,0.3262450671859139,0.1,0.4262450671859139,SAN FRANCISCO DE QUIBDÓ,0.5106930256485633,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27495,0.9,0.1,1.0,Desconectado,0.5417684132852556,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
27580,0.9,0.0,0.9,Desconectado,0.1743421052631579,True,IndiceBrechaConectividadFisica.csv,GiniMovilidad.csv,🟡 Adaptar — indicador existente; validar metodología/fuente,🟡 Adaptar — indicador existente; validar metodología/fuente,No se reconstruye. El archivo no documenta año ni metodología; recuperar ficha metodológica antes de incorporarlo al índice final.,
